Age,Gender,Education,HomeOwnership,Intent,Income,YearsExperience,LoanAmount,InterestRate,PercentIncome,CreditScore,YearsCreditHistory,PreviousLoanDefault,LoanApproved
22,female,Master,RENT,PERSONAL,71948,0,35000,16.02,0.49,561,3,No,1
21,female,High School,OWN,EDUCATION,12282,0,1000,11.14,0.08,504,2,Yes,0
25,female,High School,MORTGAGE,MEDICAL,12438,3,5500,12.87,0.44,635,3,No,1
23,female,Bachelor,RENT,MEDICAL,79753,0,35000,15.23,0.44,675,2,No,1
24,male,Master,RENT,MEDICAL,66135,1,35000,14.27,0.53,586,4,No,1
21,female,High School,OWN,VENTURE,12951,0,2500,7.14,0.19,532,2,No,1
26,female,Bachelor,RENT,EDUCATION,93471,1,35000,12.42,0.37,701,3,No,1
24,female,High School,RENT,MEDICAL,95550,5,35000,11.11,0.37,585,4,No,1
24,female,Associate,RENT,PERSONAL,100684,3,35000,8.9,0.35,544,2,No,1
21,female,High School,OWN,VENTURE,12739,0,1600,14.74,0.13,640,3,No,1
22,female,High School,RENT,VENTURE,102985,0,35000,10.37,0.34,621,4,No,1
21,female,Associate,OWN,HOMEIMPROVEMENT,13113,0,4500,8.63,0.34,651,2,No,1
23,male,Bachelor,RENT,VENTURE,114860,3,35000,7.9,0.3,573,2,No,1
26,male,Master,RENT,EDUCATION,130713,0,35000,18.39,0.27,708,4,No,1
23,female,Associate,RENT,EDUCATION,138998,0,35000,7.9,0.25,583,4,No,0
23,female,Master,MORTGAGE,DEBTCONSOLIDATION,600891,5,30000,10.65,0.05,670,3,Yes,0
23,male,Bachelor,RENT,EDUCATION,144943,0,35000,7.9,0.24,663,4,No,0
23,female,High School,RENT,MEDICAL,111369,0,35000,20.0,0.31,694,4,No,1
23,male,Bachelor,RENT,DEBTCONSOLIDATION,136628,0,35000,18.25,0.26,709,4,No,1
24,female,Master,MORTGAGE,EDUCATION,14283,1,1750,10.99,0.12,679,2,No,1
25,male,Bachelor,RENT,VENTURE,195718,0,35000,7.49,0.18,684,4,Yes,0
25,male,High School,RENT,PERSONAL,165792,4,34800,16.77,0.21,662,2,No,0
22,female,Master,RENT,EDUCATION,79255,0,34000,17.58,0.43,691,4,No,1
24,female,Bachelor,OWN,PERSONAL,13866,0,1500,7.29,0.11,600,3,Yes,0
22,male,Bachelor,RENT,PERSONAL,97420,1,33950,14.54,0.35,691,4,No,1
24,female,High School,RENT,HOMEIMPROVEMENT,82443,0,33000,12.68,0.4,654,3,No,1
21,female,Associate,MORTGAGE,VENTURE,14288,0,4575,17.74,0.32,626,3,No,1
23,male,High School,OWN,PERSONAL,14293,0,1400,9.32,0.1,607,3,No,0
24,female,Bachelor,RENT,HOMEIMPROVEMENT,79054,1,32500,9.99,0.41,700,3,No,1
21,female,Bachelor,OTHER,EDUCATION,14988,0,4000,12.84,0.27,553,2,No,1
21,male,High School,OWN,MEDICAL,14858,0,2000,11.12,0.13,589,3,No,1
25,male,Bachelor,RENT,VENTURE,144855,1,32000,6.62,0.22,586,2,Yes,0
26,male,Bachelor,RENT,HOMEIMPROVEMENT,114645,2,31050,14.17,0.27,681,3,No,1
25,female,High School,RENT,DEBTCONSOLIDATION,368115,3,24250,13.85,0.07,567,3,Yes,0
26,female,Associate,MORTGAGE,MEDICAL,361076,1,7800,13.49,0.02,669,4,No,0
21,male,Associate,OWN,EDUCATION,15150,0,2500,7.51,0.17,600,4,No,1
22,female,Bachelor,RENT,EDUCATION,58868,0,30000,18.39,0.51,606,2,No,1
24,male,High School,RENT,DEBTCONSOLIDATION,78026,3,30000,14.54,0.38,582,3,No,1
25,male,Bachelor,RENT,HOMEIMPROVEMENT,90785,4,30000,16.89,0.33,649,4,No,1
23,female,High School,RENT,DEBTCONSOLIDATION,86811,0,30000,11.01,0.35,602,4,No,1
26,male,Bachelor,RENT,MEDICAL,75503,5,30000,17.99,0.4,616,2,No,1
